iter	Logloss
0	0.5714834826
5	0.3343782412
10	0.2889534175
15	0.2749815786
20	0.2691824887
25	0.2665353284
30	0.2651104866
35	0.2640281239
40	0.2633140619
45	0.2626936714
50	0.2621567979
55	0.2616865945
60	0.2613300636
65	0.2608131655
70	0.2603406543
75	0.2600725124
80	0.2596420033
85	0.259286216
90	0.2589892522
95	0.2585594867
100	0.2582385473
105	0.2579547124
110	0.257592617
115	0.2573159619
120	0.2569733035
125	0.256708572
130	0.2564008641
135	0.2560130495
140	0.2557401382
145	0.2553738631
150	0.2550393076
155	0.2546617243
160	0.2543016034
165	0.2540267946
170	0.2537552936
175	0.2535154609
180	0.2532036758
185	0.2529563299
190	0.2525974655
195	0.2523625561
200	0.2519712285
205	0.2516763417
210	0.2513973275
215	0.2511553665
220	0.2508392735
225	0.250442202
230	0.2501884198
235	0.249914329
240	0.2496222628
245	0.2493612239
250	0.2491116471
255	0.2487873229
260	0.2485417207
265	0.248249193
